LBP1,LBP2,LBP3,LBP4,LBP5,LBP6,LBP7,LBP8,LBP9,LBP10,LBP11,LBP12,LBP13,LBP14,LBP15,LBP16,LBP17,LBP18,LBP19,LBP20,LBP21,LBP22,LBP23,LBP24,LBP25,LBP26,LabelName
0.02091723267416,0.0144857846967602,0.01045861633708,0.00895594157600529,0.00823465769068943,0.010699044298852,0.00793412273847448,0.0127426819739136,0.0149065336298612,0.0161687804291639,0.0188735949990984,0.0432770331189517,0.0514515838191982,0.0355232313518062,0.0242231171485244,0.0233215122918795,0.0184528460659975,0.026326861814029,0.0173108132475807,0.0197751998557432,0.0174911342189097,0.0248241870529543,0.0376870830077538,0.0268077177375729,0.121716655647052,0.367434032577989,Ferramentas
0.0287398673544584,0.0292557111274871,0.0106116433308769,0.00972733971997052,0.00736919675755343,0.0123065585851142,0.00803242446573323,0.0125276344878408,0.0141488577745026,0.0157700810611643,0.025792188651437,0.043994104642594,0.052689756816507,0.0373618275607959,0.0200442151805453,0.0241709653647752,0.0144436256448047,0.0187914517317612,0.0120854826823876,0.01171702284451,0.0126013264554164,0.0162859248341931,0.025792188651437,0.0325718496683861,0.0781134856300663,0.425055268975682,Musica
0.0338628762541806,0.0270066889632107,0.0117892976588629,0.00961538461538462,0.00811036789297659,0.00877926421404682,0.00769230769230769,0.0104515050167224,0.0142140468227425,0.0204013377926421,0.0218227424749164,0.0465719063545151,0.0607023411371237,0.0446488294314381,0.0234113712374582,0.0260869565217391,0.0161371237458194,0.0198996655518395,0.0149665551839465,0.0150501672240803,0.0127090301003345,0.0182274247491639,0.0250836120401338,0.0298494983277592,0.102842809364548,0.370066889632107,Telefone
0.048449429729475,0.0370440192289566,0.0217739655009897,0.0144217174097464,0.0112168913186917,0.00970873786407767,0.00763502686398341,0.00970873786407767,0.0109341125459516,0.0117824488641719,0.0142331982279197,0.0299745499104534,0.0318597417287209,0.0186633990008483,0.0112168913186917,0.0147987557733999,0.0115939296823452,0.0130078235460458,0.0104628145913847,0.0106513337732114,0.00961447827316429,0.0148930153643133,0.0237534169101706,0.0292204731831464,0.0691865397304176,0.504194551795645,Internet
0.0303280948442239,0.021505376344086,0.0122001654259719,0.00716845878136201,0.00654811138682106,0.00620347394540943,0.00454921422663358,0.00854700854700855,0.00840915357044389,0.0121312379376896,0.0160601047697822,0.0345326716294458,0.0665150261924456,0.0325337744692583,0.0164047422111938,0.021505376344086,0.0119244554728426,0.0175075820237111,0.0102012682657844,0.0159222497932175,0.0128894403087951,0.0211607389026744,0.0277088502894954,0.0353598014888337,0.150744416873449,0.391439205955335,Mensagem
0.0325114404753774,0.0253397991940441,0.0140700771805205,0.009698791066184,0.00730824397240626,0.00785465473669831,0.00778635339116181,0.0107233112492316,0.0118844341233522,0.0165289256198347,0.0200122942421966,0.0426200396147804,0.057509732941739,0.0296427839628441,0.0208319103886347,0.0254081005395806,0.0157776108189331,0.019534184823441,0.0159142135100061,0.0150262960180316,0.0155044054367871,0.0193292807868315,0.0279352503244314,0.0288914691619425,0.10579878423605,0.39655761218496,Galeria
0.0404615141457247,0.0327959538485854,0.0152520941994626,0.0113007744586692,0.00806069227121859,0.0110636952742216,0.0106685633001423,0.0116168800379327,0.012644223170539,0.0143828038564881,0.0155681997787261,0.0314525051367157,0.0504188398925241,0.0248933143669986,0.0141457246720405,0.0162794373320689,0.0103524577208788,0.0153311205942785,0.0107475896949581,0.0125651967757231,0.0143037774616722,0.0173067804646752,0.0262367630788683,0.028844634107792,0.0885095621937727,0.454796902165323,Contactos
0.0432773109243697,0.0272408963585434,0.0179271708683473,0.0136554621848739,0.00973389355742297,0.00700280112044818,0.00819327731092437,0.00861344537815126,0.00882352941176471,0.00994397759103641,0.0134453781512605,0.0313025210084034,0.0358543417366947,0.0221988795518207,0.0133053221288515,0.0136554621848739,0.0092436974789916,0.0107843137254902,0.00763305322128852,0.00917366946778712,0.00798319327731092,0.0136554621848739,0.0238795518207283,0.0305322128851541,0.16624649859944,0.436694677871149,Galaxy_Store
0.0234417344173442,0.0193089430894309,0.0130081300813008,0.0101626016260163,0.00819783197831978,0.00887533875338753,0.00785907859078591,0.0106368563685637,0.0109756097560976,0.0138211382113821,0.014159891598916,0.0365853658536585,0.0476287262872629,0.0342818428184282,0.0199186991869919,0.025,0.0166666666666667,0.0276422764227642,0.0157859078590786,0.0159891598915989,0.0148373983739837,0.021070460704607,0.0297425474254743,0.0297425474254743,0.1789972899729,0.345663956639566,S_Planner
0.0350877192982456,0.0303643724696356,0.0191183085919928,0.0116959064327485,0.0113210376368271,0.0137201979307242,0.00937171989803569,0.00944669365721997,0.0104963262858,0.0107212475633528,0.0148448043184885,0.037561853351327,0.0566051881841355,0.0307392412655571,0.0131953816164342,0.0147698305593042,0.0131953816164342,0.0167191482980957,0.0107962213225371,0.0137951716899085,0.0118458539511171,0.0140200929674614,0.0292397660818713,0.0313390313390313,0.0782726045883941,0.45171689908532,Email
