LBP1,LBP2,LBP3,LBP4,LBP5,LBP6,LBP7,LBP8,LBP9,LBP10,LBP11,LBP12,LBP13,LBP14,LBP15,LBP16,LBP17,LBP18,LabelName
0.0224199074352347,0.0239826891867524,0.015447496543848,0.0144857846967602,0.0134038588687864,0.0204964837410591,0.0256055779287131,0.052172867704514,0.0722486025124722,0.0613091302518483,0.0346817334856044,0.0446594938991405,0.026026326861814,0.0356434453326922,0.0498888020676805,0.0414137164152191,0.193364188255094,0.252749894812767,Ferramentas
0.0302137067059691,0.0334561532792926,0.0154753131908622,0.0132645541635962,0.0111274871039057,0.0197494473102432,0.0282240235814296,0.0534266764922623,0.0765659543109801,0.0627855563743552,0.0296978629329403,0.0353721444362564,0.0229182019159912,0.0295504789977892,0.0390567428150332,0.0487103905674282,0.135740604274134,0.314664701547531,Musica
0.0335284280936455,0.033695652173913,0.0183110367892977,0.012876254180602,0.0117892976588629,0.0199832775919732,0.029933110367893,0.0671404682274248,0.081438127090301,0.0671404682274248,0.0362876254180602,0.0408026755852843,0.0219063545150502,0.027257525083612,0.037876254180602,0.03938127090301,0.168311036789298,0.252341137123746,Telefone
0.049203506456782,0.0541050051842775,0.0262984258648318,0.0218682250919031,0.0145159770006598,0.020831369591856,0.0271467621830521,0.0538222264115374,0.0592892826845132,0.0404373645018381,0.0247902724102177,0.0285606560467528,0.0205485908191159,0.0284663964558394,0.0372325384107833,0.0400603261381846,0.100763502686398,0.352059572061457,Internet
0.0268817204301075,0.0312241521918941,0.0148883374689826,0.0119933829611249,0.00813344361731459,0.0138544251447477,0.0202646815550041,0.0500413564929694,0.0842293906810036,0.0532809484422388,0.021712158808933,0.0359801488833747,0.0170940170940171,0.0310173697270472,0.0361180038599393,0.0443203749655363,0.213537358698649,0.285428728977116,Mensagem
0.033672563349498,0.0319650297110853,0.0169387336930538,0.0139334744894474,0.0108599139403046,0.0204904036609521,0.0270473328324568,0.0567584181408374,0.0829861348268561,0.0509528037702343,0.0333310566218155,0.03852195888259,0.0235639642100949,0.0305990028003552,0.0418687248138788,0.0448056826719486,0.170138651731439,0.271566149853152,Galeria
0.0412517780938834,0.045045045045045,0.0238659712343923,0.0181760708076498,0.0132764343290659,0.0206258890469417,0.0250513671566303,0.0417259364627786,0.0789473684210526,0.0461514145724672,0.0269480006322112,0.0337442705863759,0.0212581002054686,0.0285285285285285,0.039039039039039,0.0435435435435435,0.125493914967599,0.327327327327327,Contactos
0.0450980392156863,0.0427170868347339,0.0253501400560224,0.0189775910364146,0.0122549019607843,0.0170868347338936,0.0195378151260504,0.0450280112044818,0.0581932773109244,0.0434873949579832,0.021358543417367,0.0254901960784314,0.0207983193277311,0.0238095238095238,0.032843137254902,0.0372549019607843,0.195238095238095,0.315476190476191,Galaxy_Store
0.0260162601626016,0.0285230352303523,0.0157859078590786,0.0142953929539295,0.0123306233062331,0.0181571815718157,0.0231029810298103,0.0451219512195122,0.0638888888888889,0.0558265582655827,0.0297425474254743,0.0462737127371274,0.02079945799458,0.0284552845528455,0.040650406504065,0.0473577235772358,0.251219512195122,0.232452574525745,S_Planner
0.040710751237067,0.0392862498125656,0.0249662618083671,0.0162693057429899,0.0110961163592743,0.0181436497225971,0.0255660518818414,0.0595291647923227,0.0893687209476683,0.0597540860698755,0.0300644774328985,0.0321637426900585,0.0191932823511771,0.0309641625431099,0.0399610136452242,0.046483730694257,0.117483880641775,0.298995351626931,Email
