H1,H2,H3,H4,H5,H6,H7,H8,S1,S2,S3,S4,S5,S6,S7,S8,V1,V2,V3,V4,V5,V6,V7,V8,LabelName
0,0,1680,10956,0,0,0,0,1260,482,186,84,39,123,976,9486,443,1898,537,416,245,233,414,8450,Definicoes
0,0,0,3508,11372,0,0,0,1071,68,306,4083,4904,1339,1191,1918,968,1787,590,353,189,231,601,10161,Video
0,0,9927,1843,0,0,0,0,21,160,314,218,548,301,1061,9147,580,1514,711,51,43,269,2407,6195,Calculadora
0,0,5610,9640,0,0,0,0,9546,671,481,2307,791,469,653,332,0,384,2803,961,369,333,351,10049,Radio
487,206,8880,5096,49,38,0,0,2102,1029,1220,1076,841,536,961,6991,317,1663,774,236,105,125,939,10597,S_Health
0,0,2753,9409,494,0,0,0,2774,2293,1807,541,1023,925,1197,2096,7,1315,1403,249,125,271,1219,8067,Camara
8808,20,719,3118,276,490,0,0,1738,471,1723,5312,2162,1148,294,583,1246,2400,308,93,54,139,575,8616,Contactos
0,0,3407,9673,0,0,0,0,486,242,162,65,95,110,916,11004,20,1603,548,604,210,77,347,9671,Musica
0,0,10336,6305,0,0,0,0,3227,4748,473,362,733,1247,1250,4601,307,2484,1614,259,101,123,677,11076,Gestor_Inteligente
1917,0,33,4497,1055,5606,0,0,2939,207,728,4373,3120,1002,311,428,7,2017,1637,249,107,124,669,8298,Galaxy_Store
0,7332,2936,9053,0,0,0,0,96,2060,6698,1586,1631,732,602,5916,50,3689,2223,348,204,216,626,11965,Galeria
56,0,3971,9974,436,3107,0,0,708,8592,1832,1920,1340,1267,890,995,0,1960,2505,521,101,687,2132,9638,Email
0,48,13927,3305,0,0,0,0,0,317,1156,483,863,1844,1696,10921,3847,1763,704,203,121,1858,7750,1034,Telefone
11082,124,2415,3409,115,254,0,0,843,2082,2060,4915,5811,787,361,540,1089,4258,218,70,105,673,8867,2119,Contactos
7933,3633,6241,370,15,32,0,0,3600,4349,6350,3373,186,92,65,209,573,847,2528,187,71,169,2976,10873,Mensagem
0,0,1619,14341,0,0,0,0,0,1606,1086,1478,5631,4453,1048,658,4,1890,2077,806,291,125,797,9970,Internet
0,0,2813,13579,608,0,0,0,42,4272,4748,1499,968,1294,1469,2708,73,2256,1966,521,176,763,2510,8735,Camara
0,0,1164,15860,0,0,0,0,3,816,285,219,631,882,972,13216,111,1867,1025,662,317,144,527,12371,Musica
5557,348,4031,6108,131,465,0,0,1269,1874,3358,1355,2599,1338,775,4072,917,3513,1608,201,401,2609,2853,4538,Chrome
0,0,8871,8146,0,0,0,0,58,795,1645,947,982,621,620,11349,0,966,2549,965,325,346,988,10878,S_Voice
0,0,13510,1742,0,0,0,0,0,10,415,1738,1083,589,524,10893,3,1879,1994,221,194,679,9210,1072,Calculadora
21,46,1412,4301,14075,10,0,0,2036,1345,523,1135,6102,6275,1440,1009,812,1601,2265,750,279,95,971,13092,Video
1619,402,10954,6028,17,23,0,0,378,2182,2076,1929,1464,798,916,9300,1675,1968,681,151,119,264,2729,11456,S_Health
0,15,11628,8797,0,0,0,0,12,6104,6055,2035,639,432,437,4726,0,1210,3744,392,114,153,934,13893,Gestor_Inteligente
2672,4,3151,3581,842,6514,0,0,2520,4643,1254,4421,2774,1032,98,22,0,1170,3040,982,164,264,1509,9635,Galaxy_Store
0,0,11475,6197,1,0,0,0,357,11950,2728,1065,477,311,243,542,0,226,2802,1886,201,581,321,11656,S_Planner
0,0,2295,12951,0,0,0,0,0,1378,982,521,318,1002,945,10100,9,1918,1024,602,284,220,687,10502,Definicoes
0,0,5685,9878,46,0,0,0,73,1354,10248,709,560,891,642,1132,72,2059,1122,811,164,284,269,10828,Relogio
902,429,5165,13903,778,279,0,0,2575,11292,1808,1249,1769,1549,542,672,30,3993,1857,743,88,227,881,13637,Ferramentas
0,0,6109,14024,22,0,0,0,4498,8730,1688,1065,1201,1460,776,737,0,1839,2680,1458,503,297,591,12787,Radio
0,0,8566,4752,10,0,0,0,1078,7572,329,274,604,1032,1144,1295,478,2424,762,240,230,210,110,8874,Relogio
0,0,6843,8781,1,0,0,0,8140,1122,473,3388,1423,420,295,364,0,543,4569,330,186,408,131,9458,S_Planner
202,1145,6491,8621,100,211,0,0,9988,1394,225,332,1163,1708,1040,920,87,3472,1381,174,53,160,269,11174,Ferramentas
2403,1497,2737,5429,469,609,0,0,1080,1920,774,1933,1464,913,1150,3910,457,3269,490,255,246,520,2147,5760,Chrome
8805,24,699,2528,219,430,0,0,1770,479,1880,5343,1950,532,278,473,1392,1381,444,101,42,136,592,8617,Contactos
105,5492,1969,6238,0,0,0,0,1194,4498,373,361,767,524,1184,4903,676,1872,581,404,156,109,417,9589,Galeria
0,0,1701,10834,0,0,0,0,1253,496,183,80,37,78,998,9410,378,1848,535,418,250,207,430,8469,Definicoes
5540,4254,1463,4385,166,188,0,0,4040,4242,4742,1057,1212,390,158,155,1370,3145,294,99,77,64,235,10712,Mensagem
0,0,1113,11620,0,0,0,0,1050,734,164,1165,4158,3000,1229,1233,0,1632,1335,831,212,151,775,7797,Internet
0,0,2833,11221,487,0,0,0,2876,2243,1851,556,1073,1614,1794,2534,144,2587,1855,256,137,254,1233,8075,Camara
0,0,3261,11859,0,0,0,0,489,227,170,51,260,650,1678,11595,1,2293,1490,880,231,106,394,9725,Musica
870,364,8683,5049,444,88,0,0,1318,1221,1484,1433,873,479,1130,7560,827,2238,912,147,70,121,898,10285,S_Health
0,0,5491,9120,14,0,0,0,9522,701,353,1838,1164,489,262,296,0,450,2854,584,98,249,334,10056,Radio
329,0,4604,4656,658,2073,0,0,6328,1403,695,1593,1174,295,450,382,0,763,1302,335,82,349,1276,8213,Email
0,17,9978,2545,0,0,0,0,272,348,130,73,281,782,1525,9129,1358,2305,131,50,55,306,4066,4269,Telefone
0,0,0,3653,11347,0,0,0,1074,69,293,4421,4610,1205,1338,1990,871,1929,616,397,192,254,590,10151,Video
0,5,9933,2126,0,0,0,0,22,162,329,395,434,272,908,9542,1031,1243,819,57,33,280,2425,6176,Calculadora
0,0,8330,3880,0,0,0,0,231,290,395,176,75,148,709,10186,203,1162,841,247,128,219,537,8873,S_Voice
0,0,10547,4923,0,0,0,0,3201,4828,439,270,488,899,1084,4261,190,1782,1259,220,109,127,682,11101,Gestor_Inteligente
1908,0,86,4505,1129,5710,0,0,2930,175,501,3545,4100,1151,346,590,74,2987,864,240,68,128,671,8306,Galaxy_Store
2328,1633,2683,5020,434,782,0,0,399,2240,655,2226,1159,1109,1109,3983,383,3849,386,119,108,468,2253,5314,Chrome
0,0,7029,8075,0,0,0,0,7980,1268,983,2058,1396,670,343,406,0,618,4083,231,167,403,150,9452,S_Planner
0,0,8561,4418,1,0,0,0,1098,7562,386,343,535,894,901,1261,379,1957,915,258,264,205,132,8870,Relogio
245,1122,6463,8907,85,206,0,0,9929,1185,510,510,1188,1882,1074,750,415,3618,1179,136,70,156,301,11153,Ferramentas
0,0,2747,10345,480,0,0,0,2859,2342,1735,740,1067,1173,1252,2404,1,1692,1933,235,133,291,1229,8058,Camara
0,0,8103,4323,0,0,0,0,250,287,389,173,66,93,731,10437,261,1298,859,259,109,208,549,8883,S_Voice
0,0,9908,1972,0,0,0,0,17,169,316,409,399,248,717,9605,987,1190,725,53,49,272,2238,6366,Calculadora
0,0,0,3718,11407,0,0,0,1075,59,275,4321,4509,1270,1517,2099,913,1979,669,373,194,235,614,10148,Video
0,0,3227,9973,0,0,0,0,486,262,156,46,78,530,1212,10430,23,1153,892,668,245,95,378,9746,Musica
0,0,1136,10064,0,0,0,0,1105,679,150,1331,3805,2372,747,1011,0,682,852,749,202,125,781,7809,Internet
5402,4141,1253,2907,155,184,0,0,3878,3686,4466,719,680,253,123,237,731,1879,235,126,71,55,232,10713,Mensagem
165,5485,2085,6304,1,0,0,0,1071,4643,322,388,453,951,1288,4924,1010,1994,421,323,153,140,400,9599,Galeria
8817,20,904,2937,324,550,0,0,1737,496,1721,5670,2068,873,405,582,1586,2140,335,97,36,141,611,8606,Contactos
0,0,9995,2659,0,0,0,0,262,367,248,119,225,1092,1255,9086,693,2898,328,47,39,282,4085,4282,Telefone
938,347,8539,4447,63,65,0,0,1700,1175,1516,1131,981,374,863,6659,673,1525,534,177,93,127,983,10287,S_Health
0,0,5757,9079,23,0,0,0,9512,674,244,1822,1226,715,320,346,0,884,2895,341,101,253,356,10029,Radio
0,0,1725,11491,0,0,0,0,1251,497,183,84,40,143,964,10054,895,2077,468,428,225,230,443,8450,Definicoes
312,0,4427,6394,654,2121,0,0,6263,1464,754,2311,1284,557,682,593,0,1522,2129,323,72,377,1263,8222,Email
2015,0,27,5024,1102,5756,0,0,2931,117,366,3417,4794,1197,298,804,511,3476,568,204,64,124,679,8298,Galaxy_Store
0,0,10492,5258,0,0,0,0,3493,5022,519,200,341,885,1006,4284,237,2002,921,205,97,133,710,11445,Gestor_Inteligente
0,0,10463,5537,0,0,0,0,3527,4827,486,289,409,1079,1058,4325,114,2054,1242,250,119,124,715,11382,Gestor_Inteligente
0,0,8305,4577,0,0,0,0,226,295,402,178,144,190,714,10733,45,1654,1163,262,125,229,527,8877,S_Voice
2401,1614,2765,4287,705,640,0,0,747,2081,698,2133,1436,940,801,3576,409,2541,552,364,246,497,2280,5523,Chrome
0,0,1688,10608,0,0,0,0,1242,496,192,76,39,95,777,9379,364,1675,495,414,241,234,405,8468,Definicoes
360,0,4362,6228,674,2056,0,0,6314,1409,856,1735,1399,677,711,579,1,1667,1764,332,82,353,1281,8200,Email
0,1,9852,1703,0,0,0,0,20,165,324,332,375,233,850,9257,799,1132,662,46,42,276,2281,6318,Calculadora
0,0,5495,10243,10,0,0,0,9520,710,334,2453,1108,464,721,438,0,1025,3672,321,92,243,350,10045,Radio
835,366,8646,4438,485,113,0,0,1316,1309,1544,1483,869,338,916,7108,620,1687,968,244,64,125,925,10250,S_Health
0,0,0,3029,11367,0,0,0,1071,70,251,4178,4576,1255,1013,1982,843,1402,587,378,195,252,590,10149,Video
282,1086,6288,8776,142,196,0,0,9974,1408,368,291,1221,1288,1220,1000,46,3656,1137,265,57,163,277,11169,Ferramentas
0,0,6860,6560,0,0,0,0,8162,1103,363,1681,1121,363,249,378,0,281,2666,303,180,405,140,9445,S_Planner
1929,0,9,6106,1291,5671,0,0,2927,124,504,4720,4390,1381,372,588,72,4181,1343,235,71,116,675,8313,Galaxy_Store
0,0,3264,9834,0,0,0,0,490,224,174,49,33,241,1220,10667,0,1138,767,731,227,106,399,9730,Musica
3,0,2766,9515,478,3,0,0,2877,2229,1854,449,936,1172,1151,2097,3,1366,1449,250,134,256,1257,8050,Camara
0,0,1035,10821,0,0,0,0,1089,692,170,1473,3606,2669,997,1160,0,1212,911,812,192,158,778,7793,Internet
5193,4215,1300,2544,83,120,0,0,3846,3934,3917,543,597,273,147,198,1045,1070,196,88,67,73,218,10698,Mensagem
