H1,H2,H3,H4,S1,S2,S3,S4,V1,V2,V3,V4,LabelName
0,12535,0,0,1749,263,115,10408,2226,953,457,8899,Definicoes
9794,5848,354,0,8282,5799,1602,313,4515,393,141,10947,Mensagem
0,12733,0,0,1784,1329,7158,2462,1632,2166,363,8572,Internet
0,14054,487,0,5119,2407,2687,4328,2731,2111,391,9308,Camara
0,15120,0,0,716,221,910,13273,2294,2370,337,10119,Musica
1234,13732,532,0,2539,2917,1352,8690,3065,1059,191,11183,S_Health
0,14611,14,0,10223,2191,1653,558,450,3438,347,10390,Radio
329,9260,2731,0,7731,2288,1469,832,763,1637,431,9489,Email
17,12523,0,0,620,203,1063,10654,3663,181,361,8335,Telefone
0,3653,11347,0,1143,4714,5815,3328,2800,1013,446,10741,Video
5,12059,0,0,184,724,706,10450,2274,876,313,8601,Calculadora
0,12210,0,0,521,571,223,10895,1365,1088,347,9410,S_Voice
0,15470,0,0,8029,709,1387,5345,1972,1479,236,11783,Gestor_Inteligente
1908,4591,6839,0,3105,4046,5251,936,3061,1104,196,8977,Galaxy_Store
3961,7703,1216,0,2639,2881,2268,5092,4232,505,576,7567,Chrome
0,15104,0,0,9248,3041,2066,749,618,4314,570,9602,S_Planner
0,12979,1,0,8660,729,1429,2162,2336,1173,469,9002,Relogio
1367,15370,291,0,11114,1020,3070,1824,4033,1315,226,11454,Ferramentas
0,13092,480,0,5201,2475,2240,3656,1693,2168,424,9287,Camara
0,12426,0,0,537,562,159,11168,1559,1118,317,9432,S_Voice
0,11880,0,0,186,725,647,10322,2177,778,321,8604,Calculadora
0,3718,11407,0,1134,4596,5779,3616,2892,1042,429,10762,Video
0,13200,0,0,748,202,608,11642,1176,1560,340,10124,Musica
0,11200,0,0,1784,1481,6177,1758,682,1601,327,8590,Internet
9543,4160,339,0,7564,5185,933,360,2610,361,126,10945,Mensagem
5650,8389,1,0,5714,710,1404,6212,3004,744,293,9999,Galeria
8837,3841,874,0,2233,7391,2941,987,3726,432,177,9217,Contactos
0,12654,0,0,629,367,1317,10341,3591,375,321,8367,Telefone
