H1,H2,H3,H4,S1,S2,S3,S4,V1,V2,V3,V4,LabelName
1415,15204,272,0,11427,511,2557,2396,4099,1143,179,11470,Ferramentas
4197,8028,996,0,2649,2717,2442,5413,4727,330,540,7624,Chrome
1269,13405,82,0,3409,2251,1320,7776,2544,741,187,11284,S_Health
0,13762,14,0,361,792,562,12061,2534,861,312,10069,S_Voice
59,17101,0,0,1093,411,1737,13919,4996,190,1577,10397,Telefone
9587,3098,1238,0,2173,6276,4530,944,2726,381,477,10339,Contactos
5365,9232,8,0,4529,3698,1154,5224,3321,1060,540,9684,Galeria
7306,6410,534,0,5329,6614,1602,705,4355,667,482,8746,Mensagem
0,15875,0,0,2204,719,9550,3402,3282,863,522,11208,Internet
0,14502,810,0,4768,4251,1583,4710,3620,965,767,9960,Camara
0,13098,0,0,563,445,908,11182,2225,836,419,9618,Musica
934,11029,128,0,1224,2043,2691,6133,2687,512,242,8650,S_Health
0,15129,0,0,2111,335,587,12096,3140,662,554,10773,Definicoes
7,12130,3230,0,7721,1311,3654,2681,4603,526,719,9519,Email
0,12765,3,0,8378,990,1468,1932,2628,670,431,9039,Radio
0,12870,0,0,107,6195,1720,4848,3643,531,128,8568,Gestor_Inteligente
0,17402,13,0,10173,2018,2585,2639,5743,636,396,10640,Relogio
1771,5204,5451,0,2580,792,6943,2111,4209,402,394,7421,Galaxy_Store
0,15217,5,0,9062,1432,1710,3018,4494,602,607,9519,S_Planner
632,14493,247,0,5687,3456,4042,2187,6248,349,289,8486,Ferramentas
0,4833,8917,0,878,140,3745,8987,3987,612,242,8909,Video
273,14803,156,0,1006,845,731,12650,3709,163,1067,10293,Calculadora
3823,7324,787,0,1172,2617,3445,4700,4298,190,2234,5212,Chrome
1969,4640,5157,0,2701,1308,6178,1579,3486,445,310,7525,Galaxy_Store
0,14248,2,0,9141,767,1925,2417,3636,468,598,9548,S_Planner
0,15949,51,0,10293,1953,2201,1553,4204,791,380,10625,Relogio
0,13625,0,0,371,6076,2482,4696,4217,667,150,8591,Gestor_Inteligente
662,11995,213,0,6748,2343,2690,1089,3619,421,305,8525,Ferramentas
68,10859,3115,0,7797,1235,3210,1800,2997,767,636,9642,Email
0,14040,0,0,8592,690,2685,2073,3765,766,436,9073,Radio
0,14278,0,0,2102,315,258,11603,2270,620,562,10826,Definicoes
986,11341,85,0,1267,2420,2082,6643,3008,466,202,8736,S_Health
0,11970,0,0,570,474,652,10274,1099,895,398,9578,Musica
0,12858,702,0,5041,4045,1690,2784,2016,777,667,10100,Camara
0,16346,2,0,2238,1164,9646,3300,3469,1066,489,11324,Internet
7438,5905,229,0,5209,6740,1091,532,3800,463,389,8920,Mensagem
5236,7306,2,0,3000,3356,973,5215,1439,904,485,9716,Galeria
9782,3220,1155,0,2413,6156,4798,790,2938,323,463,10433,Contactos
74,15298,0,0,1182,354,1251,12585,3119,159,1046,11048,Telefone
0,2516,9038,0,898,83,4349,6224,1732,614,263,8945,Video
293,16219,0,0,685,951,1058,13818,4901,149,866,10596,Calculadora
0,14637,0,0,514,785,1194,12144,1960,2024,377,10276,S_Voice
4006,7508,561,0,1144,2103,3533,5295,4404,177,2204,5290,Chrome
145,11714,3021,0,7914,1208,3042,2716,3412,1099,690,9679,Email
99,17445,0,0,718,391,1222,15213,5516,126,863,11039,Telefone
235,14769,0,0,237,649,319,13799,3536,121,630,10717,Calculadora
0,4552,9014,0,914,222,5573,6857,3431,790,283,9062,Video
629,12751,192,0,7107,2310,2523,1632,3001,1677,280,8614,Ferramentas
5217,9715,2,0,5398,1128,2680,5728,3447,1087,515,9885,Galeria
963,11763,18,0,1272,2003,1609,7860,3237,463,196,8848,S_Health
0,13689,0,0,8617,702,1866,2504,3170,906,388,9225,Radio
0,14152,0,0,467,674,236,12775,2584,937,341,10290,S_Voice
0,15124,5,0,10199,528,1440,2962,3579,554,369,10627,Relogio
3897,7054,603,0,2051,1218,2269,6016,3764,215,2103,5472,Chrome
0,14760,0,0,9203,541,1782,3234,3858,710,594,9598,S_Planner
1971,6001,5249,0,2607,1696,6932,1986,4921,437,276,7587,Galaxy_Store
0,12430,0,0,499,5677,1212,5042,3116,532,130,8652,Gestor_Inteligente
9932,3715,985,0,2449,7856,3445,882,3271,358,489,10514,Contactos
28,15194,150,0,2369,440,229,12334,3108,797,570,10897,Definicoes
6866,3931,93,0,6799,3244,535,312,1363,245,292,8990,Mensagem
0,14986,0,0,2275,812,9129,2770,1895,1202,491,11398,Internet
0,14227,593,0,4799,3898,2408,3715,2624,1245,537,10414,Camara
0,12402,0,0,561,390,1125,10326,843,1334,412,9813,Musica
0,13570,2,0,8669,604,1539,2760,3427,732,329,9084,Radio
977,10885,15,0,1809,1378,2488,6202,2195,908,188,8586,S_Health
17,16623,0,0,959,516,2590,12575,4865,269,339,11167,Telefone
9926,4457,857,0,3242,11237,634,127,1905,2750,155,10430,Contactos
5117,7991,0,0,5423,1059,1093,5533,1442,1567,557,9542,Galeria
7310,5187,223,0,7329,2915,2008,468,3442,252,98,8928,Mensagem
0,12987,0,0,3036,4187,4568,1196,560,1055,447,10925,Internet
0,14150,482,0,6218,2205,2118,4091,1830,1793,560,10449,Camara
0,12075,0,0,640,232,388,10815,968,1160,525,9422,Musica
3920,7831,561,0,2327,2175,3689,4121,4720,218,559,6815,Chrome
0,4720,8822,0,898,3026,6756,2862,2905,1628,437,8572,Video
570,12244,2561,0,7909,1639,3200,2627,4391,776,450,9758,Email
0,12947,0,0,832,5211,762,6142,3514,741,161,8531,Gestor_Inteligente
1734,6167,5669,0,2683,2931,6705,1251,4991,757,277,7545,Galaxy_Store
0,16000,0,0,9114,1406,3393,2087,3500,2259,589,9652,S_Planner
0,16250,0,0,10373,2802,2317,758,1990,3046,509,10705,Relogio
250,14754,0,0,402,553,744,13305,3788,140,423,10653,Calculadora
0,14520,0,0,2216,585,1037,10682,1775,1256,694,10795,Definicoes
0,14000,0,0,640,617,727,12016,2152,1546,342,9960,S_Voice
705,12859,125,0,8337,759,3589,1004,3799,1177,247,8466,Ferramentas
0,15125,0,0,616,638,976,12895,3183,1636,347,9959,S_Voice
0,13054,0,0,8687,542,1198,2627,2908,727,332,9087,Radio
0,13949,176,0,2393,4493,5570,1669,1067,1940,505,10613,Internet
7163,4332,169,0,7579,2520,1164,401,2302,342,90,8930,Mensagem
5080,7910,2,0,5453,1062,1277,5200,1457,1508,484,9543,Galeria
0,11660,0,0,640,314,325,10381,544,1141,552,9423,Musica
932,11115,37,0,1891,1343,2638,6212,2371,946,174,8593,S_Health
0,15246,0,0,2228,721,1171,11126,2311,1436,712,10787,Definicoes
0,14183,458,0,6068,2189,1870,4514,1972,1880,510,10279,Camara
1692,5057,5683,0,2688,2322,6172,1250,4008,591,265,7568,Galaxy_Store
0,14750,0,0,9116,952,2665,2017,2842,1665,585,9658,S_Planner
3849,6833,648,0,2314,1944,2975,4097,3781,169,566,6814,Chrome
0,4245,8859,0,899,2709,6743,2753,2560,1533,471,8540,Video
19,15321,0,0,953,611,1518,12258,3450,390,344,11156,Telefone
404,12368,2728,0,7889,2098,3104,2409,4453,844,444,9759,Email
278,13646,0,0,406,535,573,12410,2718,141,420,10645,Calculadora
0,12540,0,0,1114,4937,473,6016,3120,719,160,8541,Gestor_Inteligente
9805,3164,954,0,3159,10070,605,89,1342,1989,156,10436,Contactos
0,15625,0,0,10261,2931,1816,617,1422,2984,512,10707,Relogio
708,13200,132,0,8367,478,4054,1141,4573,755,244,8468,Ferramentas
0,11766,0,0,1797,1760,6537,1672,926,1896,380,8564,Internet
1260,13454,169,0,2662,2630,1617,7974,2763,735,194,11191,S_Health
206,11303,2866,0,7701,2615,2323,1736,1937,2517,430,9491,Email
0,16205,39,0,10228,2564,2086,1366,1355,4150,345,10394,Radio
0,13340,0,0,504,562,204,12070,2244,1352,329,9415,S_Voice
3,12165,0,0,185,961,905,10117,2081,1176,324,8587,Calculadora
0,5631,11387,0,1139,4558,6127,5194,4812,1004,458,10744,Video
0,16128,0,0,8354,697,1909,5168,2681,1296,228,11923,Gestor_Inteligente
1854,5505,6901,0,3041,3755,6368,1096,4212,872,217,8959,Galaxy_Store
0,15469,25,0,9248,3514,2032,700,527,4800,592,9575,S_Planner
0,11856,0,0,1756,258,132,9710,1649,871,482,8854,Definicoes
0,14279,0,0,731,217,1284,12047,1669,2229,310,10071,Musica
0,13981,527,0,5238,2273,2952,4045,2616,2196,392,9304,Camara
9764,5624,484,0,8642,5153,1544,533,4478,322,132,10940,Mensagem
5619,8412,11,0,5807,1040,1114,6081,3048,713,286,9995,Galeria
1343,17178,355,0,11414,560,4246,2656,6004,1198,208,11466,Ferramentas
0,13562,4,0,8688,850,1556,2472,2834,1273,498,8961,Relogio
8757,4662,1099,0,2140,8150,2955,1273,4713,426,171,9208,Contactos
0,13340,0,0,637,664,1963,10076,3857,804,348,8331,Telefone
4027,8382,1157,0,2795,2800,2733,5238,4097,1069,642,7758,Chrome
0,13789,449,0,5959,2598,2225,3456,1383,2284,450,10121,Camara
0,15327,0,0,3666,4053,4884,2724,1825,1345,520,11637,Internet
938,11104,42,0,1831,1403,2593,6257,2507,819,165,8593,S_Health
0,14278,0,0,1014,5021,656,7587,4908,677,164,8529,Gestor_Inteligente
0,4807,8866,0,898,2854,7164,2757,2751,1934,433,8555,Video
7070,4606,169,0,7492,2470,1458,425,2567,287,100,8891,Mensagem
0,14396,0,0,2221,532,825,10818,1673,1248,676,10799,Definicoes
3829,6785,621,0,2260,1677,2876,4422,3704,153,579,6799,Chrome
656,12844,173,0,8314,458,3625,1276,4354,603,264,8452,Ferramentas
0,17157,0,0,10673,4165,1765,554,1024,4530,885,10718,Relogio
0,14986,0,0,9108,1241,2193,2444,2952,1791,588,9655,S_Planner
5080,9239,0,0,5436,961,1873,6049,2666,1523,592,9538,Galeria
19,19163,0,0,1088,1057,2795,14242,6118,1478,430,11156,Telefone
402,10671,2727,0,7892,1779,2513,1616,2747,848,444,9761,Email
9675,5891,1011,0,3151,11964,1274,188,2081,3899,154,10443,Contactos
0,14760,0,0,626,619,991,12524,2963,1501,333,9963,S_Voice
302,14448,0,0,413,529,545,13263,3542,138,428,10642,Calculadora
0,13445,2,0,8666,598,1540,2643,3233,804,316,9094,Radio
1691,4626,5673,0,2664,1774,6324,1228,3596,578,272,7544,Galaxy_Store
0,12760,0,0,636,467,494,11163,1109,1632,602,9417,Musica
1808,5949,5743,0,2689,2114,6914,1783,5123,558,251,7568,Galaxy_Store
0,12210,0,0,646,244,495,10825,952,1268,574,9416,Musica
1,14861,433,0,5985,2037,3089,4184,2529,2200,408,10158,Camara
0,13664,0,0,2391,4343,5104,1826,683,1613,539,10829,Internet
6966,4165,191,0,7485,2333,1153,351,2117,221,103,8881,Mensagem
5063,9675,4,0,6210,1522,1843,5167,2217,1842,746,9937,Galeria
9469,4504,1120,0,2994,10741,1180,178,1197,3292,158,10446,Contactos
9,19731,0,0,1426,1569,2968,13777,5697,2185,697,11161,Telefone
0,14000,0,0,9115,929,2072,1884,2278,1480,588,9654,S_Planner
652,13555,177,0,8359,391,4352,1282,4999,675,255,8455,Ferramentas
0,18084,0,0,11314,4411,1462,897,1241,4408,1733,10702,Relogio
3836,7960,636,0,2252,1407,3836,4937,4915,141,572,6804,Chrome
0,15990,0,0,2212,743,1480,11555,2754,1767,686,10783,Definicoes
0,12882,0,0,648,596,555,11083,1564,1019,335,9964,S_Voice
0,12656,0,0,998,5045,613,6000,3271,683,171,8531,Gestor_Inteligente
455,12368,2675,0,7886,2051,3269,2292,4585,704,446,9763,Email
0,13552,0,0,8691,558,1551,2752,3374,761,314,9103,Radio
0,4438,8872,0,898,2886,7007,2519,2539,1793,425,8553,Video
932,10664,59,0,1848,1440,2295,6072,2131,777,154,8593,S_Health
263,14850,0,0,408,635,823,13247,3906,136,422,10649,Calculadora
5093,6356,0,0,5417,663,505,4864,688,858,418,9485,Galeria
932,11106,46,0,1837,1433,2586,6228,2456,868,171,8589,S_Health
7210,4009,194,0,7457,2460,1113,383,2112,280,98,8923,Mensagem
0,15372,0,0,9106,898,2919,2449,3715,1419,576,9662,S_Planner
1771,4336,5532,0,2726,1689,5974,1250,3264,556,269,7550,Galaxy_Store
0,12971,0,0,1031,5005,444,6491,3560,714,173,8524,Gestor_Inteligente
0,16000,0,0,2226,799,1194,11781,3050,1478,690,10782,Definicoes
0,12849,3,0,8693,534,1172,2453,2666,774,320,9092,Radio
30,17082,0,0,1048,803,1925,13336,4270,1277,400,11165,Telefone
0,11990,0,0,639,316,278,10757,962,1067,535,9426,Musica
3819,7302,651,0,2274,1960,2901,4637,4228,168,572,6804,Chrome
0,13692,465,0,6031,2300,2053,3773,1568,2008,445,10136,Camara
416,12233,2718,0,7896,2155,3080,2236,4262,896,446,9763,Email
9620,3627,914,0,3075,10407,580,99,1289,2280,152,10440,Contactos
0,13685,0,0,641,606,534,11904,2049,1335,347,9954,S_Voice
0,15876,0,0,10512,3168,1603,593,1006,3342,833,10695,Relogio
697,12959,138,0,8306,468,3822,1198,4470,609,260,8455,Ferramentas
0,13224,0,0,3395,3734,4453,1642,850,844,451,11079,Internet
271,15329,0,0,417,530,662,13991,4383,144,422,10651,Calculadora
0,4019,8843,0,896,2936,6679,2351,2127,1740,447,8548,Video
84,18506,0,0,84,2736,2551,13219,6441,782,8643,2724,Telefone
544,12770,141,0,772,7950,3222,1511,4636,237,1328,7254,Ferramentas
0,15872,0,0,262,13319,1506,785,2702,2083,652,10435,Relogio
0,11230,2,0,0,1203,403,9626,912,1000,324,8996,Musica
186,11617,2837,0,893,8344,3537,1866,4296,341,2350,7653,Email
0,14160,0,0,0,834,1546,11780,3341,688,696,9435,S_Voice
453,14523,0,0,0,647,925,13404,3917,191,9863,1005,Calculadora
0,4959,8361,0,91,944,7546,4739,3521,1018,338,8443,Video
0,14008,584,0,107,8034,1637,4814,2911,1290,2189,8202,Camara
0,15576,0,0,1427,2607,6090,5452,2589,1163,620,11204,Internet
6691,6694,167,0,2440,7888,2345,879,4549,93,6303,2607,Mensagem
5066,8494,0,0,1168,5329,1842,5221,2538,1298,3612,6112,Galeria
8767,3221,1120,0,1626,10009,1313,160,1515,1123,8142,2328,Contactos
0,13104,0,0,14,8950,1931,2209,3472,345,749,8538,Radio
0,15367,0,0,18,3055,1143,11151,3367,935,557,10508,Definicoes
1729,5046,5324,0,612,3583,6098,1806,4128,317,4402,3252,Galaxy_Store
889,11701,46,0,612,1946,3247,6831,3653,327,2205,6451,S_Health
3368,7534,963,0,817,2945,3547,4556,4415,363,5424,1663,Chrome
0,12733,0,0,0,806,5787,6140,3915,273,1138,7407,Gestor_Inteligente
0,15851,0,0,0,10365,2765,2721,4907,996,601,9347,S_Planner
890,11013,85,0,717,2214,2969,6088,2763,517,1394,7314,S_Health
0,15359,129,0,100,3298,1265,10825,3245,931,485,10827,Definicoes
0,14136,0,0,0,9070,3057,2009,4324,359,332,9121,Radio
0,14278,0,0,58,2444,5554,6222,4943,580,434,8321,Gestor_Inteligente
0,3384,8937,0,98,829,2743,8651,2775,677,225,8644,Video
4,11007,3031,0,1078,8415,3190,1359,3310,446,2073,8213,Email
253,14138,0,0,0,658,1086,12647,3122,194,8568,2507,Calculadora
0,12852,0,0,0,690,1016,11146,2026,611,413,9802,S_Voice
3,20157,0,0,3,2668,5094,12395,7681,872,8316,3291,Telefone
8854,4785,1736,0,2456,12066,844,9,2331,2396,6561,4087,Contactos
5113,8155,0,0,2582,4444,1071,5171,1497,1807,1703,8261,Galeria
6793,5324,285,0,3707,6942,1381,372,2747,620,6285,2750,Mensagem
1472,3913,5591,0,663,2890,5932,1491,2721,484,1651,6120,Galaxy_Store
0,14828,7,0,1231,2708,8307,2589,1700,1104,372,11659,Internet
0,13967,663,0,913,7414,1888,4415,3075,928,1263,9364,Camara
0,12926,74,0,30,806,702,11462,2644,781,270,9305,Musica
0,14750,0,0,0,10073,2453,2224,4009,349,769,9623,S_Planner
0,17023,5,0,247,12620,2429,1732,4111,1554,697,10666,Relogio
530,11155,115,0,885,7848,2314,753,2870,253,1258,7419,Ferramentas
3142,7199,1322,0,1608,3418,2260,4377,4044,370,4769,2480,Chrome
0,18620,0,0,0,982,3655,13983,6443,447,7895,3835,Telefone
892,11198,1,0,796,1769,2658,6868,2340,924,1092,7735,S_Health
4955,9381,0,0,3670,4134,1595,4937,1429,2629,1267,9011,Galeria
6745,5628,90,0,4446,6339,1278,400,2525,681,6341,2916,Mensagem
0,16380,0,0,0,12091,1659,2630,4375,667,581,10757,Relogio
0,14880,0,0,0,10233,2101,2546,3787,717,727,9649,S_Planner
1598,4968,5394,0,842,3607,6037,1474,3423,702,1275,6560,Galaxy_Store
0,13804,0,0,0,1654,7306,4844,3927,1049,353,8475,Gestor_Inteligente
526,12332,122,0,819,7978,3037,1146,3640,532,1173,7635,Ferramentas
3397,8045,988,0,2119,2459,2555,5297,4447,636,4450,2897,Chrome
0,14747,136,0,32,2483,855,11513,2915,703,423,10842,Definicoes
0,15142,0,0,40,3070,6709,5323,2175,1392,423,11152,Internet
0,4077,8870,0,91,961,2998,8897,3121,805,212,8809,Video
0,13794,0,0,0,9313,2566,1915,3767,547,308,9172,Radio
0,14212,329,0,53,9103,1646,3739,1932,1876,1186,9547,Camara
201,14440,0,0,9,522,1192,12918,2935,487,7277,3942,Calculadora
0,14224,0,0,0,678,782,12764,3171,723,328,10002,S_Voice
9148,4887,994,0,1833,10809,2295,92,2491,1724,8641,2173,Contactos
35,10987,3020,0,1182,8783,1847,2230,3362,365,1973,8342,Email
0,13661,24,0,0,1195,1231,11259,2034,1794,323,9534,Musica
0,12597,17,0,0,1001,728,10885,1540,1304,294,9476,Musica
0,14069,439,0,6,2794,5959,5749,1457,1382,465,11204,Internet
6451,4836,55,0,4448,6004,617,273,1690,701,5195,3756,Mensagem
4932,8848,0,0,3905,3893,799,5183,768,2787,829,9396,Galeria
9045,5727,1158,0,2448,11995,1451,36,2119,3059,6125,4627,Contactos
0,16896,0,0,0,1165,2984,12747,4139,1082,5788,5887,Telefone
59,11898,2926,0,1247,8985,2035,2616,3747,817,1850,8469,Email
0,13688,0,0,0,8988,2163,2537,3678,529,230,9251,Radio
0,15605,4,0,0,2761,1032,11816,3423,865,403,10918,Definicoes
881,11309,0,0,909,1584,2888,6809,2098,1294,915,7883,S_Health
3124,7162,1163,0,2203,3070,1239,4937,3395,714,3212,4128,Chrome
0,13216,0,0,9,1114,6184,5909,3683,699,299,8535,Gestor_Inteligente
1617,4875,5250,0,912,3495,6037,1298,3006,885,1315,6536,Galaxy_Store
518,13549,90,0,822,7984,3570,1781,4697,636,981,7843,Ferramentas
0,17030,0,0,0,12094,2235,2701,3915,1717,593,10805,Relogio
0,14399,0,0,0,9741,1655,3003,3211,766,699,9723,S_Planner
0,3969,8796,0,130,905,3746,7984,2965,822,210,8768,Video
189,14571,0,0,0,492,1079,13189,3398,197,4175,6990,Calculadora
0,13680,0,0,0,696,856,12128,2464,908,301,10007,S_Voice
0,14720,1663,0,1055,9622,1656,4050,1180,3239,2156,9808,Camara
1207,13807,111,0,433,2746,2509,9437,3447,351,1792,9535,S_Health
0,14883,0,0,0,677,969,13237,3561,1053,275,9994,Musica
0,13068,0,0,0,10596,1713,759,384,2661,704,9319,S_Planner
1638,7459,6230,0,767,6946,7262,352,4271,2014,1251,7791,Galaxy_Store
0,17028,0,0,0,7606,3594,5828,3664,1474,305,11585,Gestor_Inteligente
0,15246,0,0,6,11327,1075,2838,2107,2485,335,10319,Radio
0,12840,0,0,0,1561,404,10875,3078,737,292,8733,Definicoes
0,13045,295,0,0,6324,2270,4746,2831,933,1294,8282,Camara
0,12432,0,0,0,1548,4460,6424,2538,1070,296,8528,Internet
0,12075,0,0,0,268,1644,10163,2525,790,6204,2556,Calculadora
0,12535,0,0,0,451,1360,10724,2281,731,339,9184,S_Voice
838,17030,220,0,1149,10727,1899,4313,5272,1217,1444,10155,Ferramentas
47,13747,0,0,0,457,1700,11637,4340,790,6882,1782,Telefone
8562,6440,498,0,1110,8005,4171,2214,5747,371,7814,1568,Contactos
5346,10142,0,0,753,5545,1720,7470,4543,637,1150,9158,Galeria
3612,7028,1570,0,1079,3843,2433,4855,3845,425,5198,2742,Chrome
8805,7496,82,0,2294,10506,2380,1203,4881,324,7167,4011,Mensagem
138,11100,2670,0,1056,8669,1717,2466,3026,1188,2090,7604,Email
0,3417,11083,0,71,1507,3875,9047,2594,656,383,10867,Video
0,13664,0,0,10,7449,2523,3682,3603,882,402,8777,Relogio
0,12996,0,0,0,519,1620,10857,1662,2705,443,8186,S_Voice
0,13806,0,0,44,8884,2037,2841,2924,1409,252,9221,Radio
0,10450,0,0,0,1490,2127,6833,0,2741,488,7221,Definicoes
0,3896,11197,0,1061,837,9740,3455,2375,1422,372,10924,Video
690,13882,184,0,3882,8699,1563,612,172,2617,678,11289,Ferramentas
0,10573,0,0,0,5821,3409,1343,561,2580,360,7072,Relogio
0,11770,0,0,4,7959,2644,1163,316,3038,619,7797,S_Planner
1242,5446,5608,0,881,6111,4920,384,2466,1888,920,7022,Galaxy_Store
0,16002,0,0,0,8343,3202,4457,2027,3115,225,10635,Gestor_Inteligente
0,11227,0,0,0,1555,5056,4616,1501,2014,275,7437,Internet
0,10395,0,0,0,80,977,9338,2462,184,5275,2474,Telefone
7705,4794,611,0,1350,8869,2652,239,3949,355,6940,1866,Contactos
5048,9230,0,0,3523,3064,2503,5188,2780,1330,567,9601,Galeria
2800,6491,1730,0,2364,3366,1317,3974,1708,1893,2648,4772,Chrome
1075,14000,175,0,576,3136,2640,8898,2623,1633,448,10546,S_Health
8956,6562,91,0,5608,7694,2002,305,3667,395,906,10641,Mensagem
0,12230,233,0,0,5879,2800,3784,1671,2035,768,7989,Camara
0,13110,0,0,0,686,1884,10540,359,2853,356,9542,Musica
18,9957,2330,0,1200,7822,1918,1365,637,3294,1757,6617,Email
0,11615,0,0,0,69,3188,8358,1624,2579,2351,5061,Calculadora
8526,4084,480,0,1269,7561,3410,850,3395,389,1525,7781,Contactos
901,15501,362,0,6303,5607,1681,3173,3456,1426,577,11305,Ferramentas
5406,8730,0,0,1684,4972,1826,5654,2873,1138,403,9722,Galeria
0,12980,0,0,246,9181,1180,2373,2214,1381,318,9067,Relogio
0,12432,0,0,6132,4605,949,746,448,1873,721,9390,S_Planner
1589,6165,6382,0,3609,5636,4776,115,1155,3785,542,8654,Galaxy_Store
0,16900,0,0,403,8371,3051,5075,2142,2620,426,11712,Gestor_Inteligente
0,13440,0,0,441,650,729,11620,1658,1535,275,9972,Musica
3854,8291,1195,0,2075,3759,2976,4530,3875,1385,2521,5559,Chrome
1209,14066,100,0,1152,2767,2365,9091,3759,440,518,10658,S_Health
0,11978,0,0,68,1911,547,9452,1426,1193,392,8967,Definicoes
0,12769,0,0,55,1034,707,10973,1600,1499,281,9389,S_Voice
0,14587,175,0,8496,2582,1646,2038,1031,2327,873,10531,Radio
0,13209,0,0,0,1571,1971,9667,1953,2343,921,7992,Calculadora
0,3621,10971,0,1299,1416,8474,3403,1789,1761,259,10783,Video
0,13021,431,0,1060,6826,1768,3798,2275,1624,835,8718,Camara
0,12305,0,0,377,1403,6869,3656,1881,1549,257,8618,Internet
102,11440,2833,0,2621,6690,2623,2441,2530,1979,1230,8636,Email
23,12973,0,0,12,1119,1032,10833,3735,616,2980,5665,Telefone
8451,5773,50,0,6180,7162,615,317,1818,1564,546,10346,Mensagem
0,12190,0,0,1756,260,142,10032,1946,902,491,8851,Definicoes
0,14518,0,0,739,207,458,13114,2121,1929,357,10111,Musica
0,12481,499,0,5209,2186,2296,3289,1478,1799,418,9285,Camara
0,13320,0,0,1792,1841,7606,2081,1527,2856,374,8563,Internet
0,12840,0,0,501,573,241,11525,1680,1413,334,9413,S_Voice
0,14966,40,0,10212,2121,1520,1153,899,3370,337,10400,Radio
0,16125,0,0,8322,695,1919,5189,2456,1541,222,11906,Gestor_Inteligente
9535,5317,636,0,8708,4616,1675,489,4068,351,131,10938,Mensagem
5578,8098,9,0,5745,517,688,6735,2527,866,295,9997,Galeria
1862,4208,6756,0,3035,3122,5672,997,2798,855,210,8963,Galaxy_Store
8768,2972,795,0,2106,7487,1966,976,2772,389,155,9219,Contactos
2,13308,0,0,656,496,2245,9913,4105,532,346,8327,Telefone
176,11196,2896,0,7697,2888,2298,1385,1505,2839,423,9501,Email
0,12430,0,0,193,748,1136,10353,2358,1156,334,8582,Calculadora
0,13915,9,0,9245,2549,1505,625,326,3429,591,9578,S_Planner
0,12708,25,0,8667,605,1274,2187,2154,1120,502,8957,Relogio
1325,15737,362,0,11411,460,3352,2201,4541,1205,219,11459,Ferramentas
3926,7603,1239,0,3035,2792,2369,4572,3228,904,663,7973,Chrome
1227,14213,304,0,2781,2754,1370,8839,3459,933,154,11198,S_Health
0,2924,11344,0,1140,4467,5632,3029,2112,952,465,10739,Video
96,12984,0,0,48,920,706,11406,3784,445,2831,6020,Telefone
0,12654,0,0,12,1880,597,10165,2184,1109,402,8959,Definicoes
0,3151,10849,0,1106,858,8263,3773,1902,1028,191,10879,Video
206,10967,2747,0,2007,7370,1729,2814,2221,1804,1306,8589,Email
0,15125,0,0,2605,10239,1239,1042,682,4367,683,9393,S_Planner
0,14030,0,0,115,9178,1589,3148,3596,1142,307,8985,Relogio
923,15205,378,0,4314,7314,1937,2941,3674,1455,430,10947,Ferramentas
4094,7089,908,0,1573,4136,2395,3987,3245,765,2544,5537,Chrome
0,14973,27,0,6322,4956,1585,2137,1335,1963,989,10713,Radio
1231,13826,71,0,531,3104,1652,9841,3556,420,447,10705,S_Health
0,12540,0,0,0,960,2104,9476,1776,1780,852,8132,Calculadora
5431,8016,0,0,993,5257,1389,5808,2171,950,427,9899,Galeria
8597,8025,18,0,5803,9760,772,305,2151,3493,448,10548,Mensagem
1869,6059,5736,0,3612,5736,4158,158,1446,3166,584,8468,Galaxy_Store
0,13221,0,0,325,1423,1110,10363,743,2164,261,10053,Musica
0,12535,0,0,105,1988,5196,5246,1955,1551,318,8711,Internet
13,12746,6,0,117,856,876,10916,1743,1335,261,9426,S_Voice
8897,3842,253,0,1472,7511,3228,781,3206,289,1774,7723,Contactos
0,15982,0,0,360,8357,2313,4952,1619,2398,242,11723,Gestor_Inteligente
0,13926,354,0,702,6423,2062,5093,3818,800,914,8748,Camara
0,12650,0,0,35,1585,6275,4755,1256,2985,266,8143,Internet
0,11021,0,0,0,1145,1016,8860,1564,1156,2767,5534,Telefone
8084,4019,299,0,1434,8271,2223,474,2663,712,1772,7255,Contactos
5337,8820,0,0,898,5090,2019,6150,3172,989,398,9598,Galeria
8639,6330,35,0,5036,7979,1590,399,3475,703,419,10407,Mensagem
0,12319,331,0,272,6261,2206,3911,1917,1635,768,8330,Camara
0,13080,0,0,264,933,878,11005,1600,1627,270,9583,Musica
0,4165,10265,0,1035,1169,7632,4594,2135,1745,176,10374,Video
1,11751,0,0,0,292,959,10501,3294,250,1101,7107,Calculadora
0,11877,0,0,0,1295,1421,9161,110,2733,351,8683,S_Voice
3419,6680,1121,0,1542,3352,1877,4449,2250,1372,2489,5109,Chrome
444,14512,904,0,2192,3618,2598,7452,903,2975,1228,10754,S_Health
0,11648,0,0,0,1680,603,9365,1406,1857,294,8091,Definicoes
0,14880,0,0,1166,9724,1953,2037,1820,3267,386,9407,Radio
156,10396,2435,0,1181,7608,1408,2790,2826,1175,1495,7491,Email
814,15234,196,0,4620,10253,1138,233,67,5494,425,10258,Ferramentas
0,11865,0,0,2,7871,2453,1539,2584,1023,328,7930,Relogio
0,13094,16,0,239,8476,2292,2103,2130,1894,685,8401,S_Planner
1822,6704,5163,0,2431,9446,1714,98,1627,3888,672,7502,Galaxy_Store
